Comment,Designator,Footprint,LCSC Part #,Note
470uF/10V,C1,CP_Elec_8x10,C47023096,"Extended. 7.4k stock, D8 x 10.5mm - thinnest stock on the board after the LED"
22uF,"C2,C3,C4,C5",C_0805_2012Metric,C6119897,"0805 10V X5R, 184k stock, $0.020 vs $0.119 for the 25V BASIC part C45783 - the single biggest safe saving on the board, $0.39/unit across four places. DC bias at 5V derates it to ~10-12uF effective, which is fine here: the LDO needs >=1uF, and C1's 470uF carries the bulk"
100nF,"C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",C_0402_1005Metric,C1525,"BASIC. 16.4M stock, 16V X7R"
PPTC 2A/4A,F1,R_1812_4532Metric,C883156,"Extended. BSMD1812-200-16V, 2A hold / 4A trip, 76k stock - the section 6.2 spec. At 15 LEDs worst case is ~1.69 A"
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,"HRO TYPE-C-31-M-12, 90k stock, $0.186. The $0.087 GT-USB-7010ASV was rejected: its footprint has 0.175 mm copper-to-hole, under JLC's 0.25 mm minimum. TOP side, plug enters from the rear board edge"
IO/VCC/GND,J4,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C7429690,"ZX-PH2.0-WT3P, 3-pin 2.0mm right-angle SMD, 17k stock, $0.053. Genuine JST S3B-PH-SM4-TB is C265101 at $0.377 if the clone footprint disappoints - CHECK the chosen part's drawing against the JST land pattern before ordering"
SK6812RGBW,"LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,LD11,LD12,LD13,LD14,LD15",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C5378724,"SKC6812RGBW-WS = WARM WHITE (the -NW suffix, C5348912, is neutral and would fight BASE_WARM_WHITE). *** STOCK NOT VERIFIED - section 9.1 number one live risk. 4-channel RGBW, GRBW order. An RGB part fits the same footprint and is silently wrong ***"
AO3401A,Q1,SOT-23,C15127,"P-FET. Source to INPUT side, drain to load"
5k1,"R1,R2,R3,R4,R5,R6,R7",R_0402_1005Metric,C25905,"BASIC. 8.4M stock, 1%"
100k,"R8,R9,R10",R_0402_1005Metric,C25741,"BASIC. 15.4M stock, 1%. Replaces C25086 - JLC now lists that Extended, 0 stock, MOQ 700"
100R,R11,R_0402_1005Metric,C25076,BASIC. 9.8M stock
BOOT,SW1,SW_SPST_EVQP7C,C49234124,"3x4x2mm SMD tact, 101k stock, $0.019 - half the price of C18078117 with 5x the stock"
ESP32-C3-MINI-1-N4,U1,ESP32-C3-MINI-1,C2838502,"Extended. 26k stock, $3.84 - doc modelled $2.92, budget ~$0.9/board more"
SN74AHCT1G125,U2,SOT-23-5,C7484,AHCT/HCT ONLY. C7468 is AHC and fixes nothing - two digits apart
AP2112K-3.3,U3,SOT-23-5,C23380830,"Extended. 31k stock. EN ties to VIN, not VOUT"
USBLC6-2SC6,U4,SOT-23-6,C2687116,Extended. 150k stock
