Comment,Designator,Footprint,LCSC Part #
470uF/10V,C1,CP_Elec_8x10,C47023096
22uF,"C2,C3,C4,C5",C_0805_2012Metric,C6119897
100nF,"C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",C_0402_1005Metric,C1525
PPTC 2A/4A,F1,R_1812_4532Metric,C883156
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
IO/VCC/GND,J4,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C7429690
SK6812RGBW,"LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,LD11,LD12,LD13,LD14,LD15",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C5378724
AO3401A,Q1,SOT-23,C15127
5k1,"R1,R2,R3,R4,R5,R6,R7",R_0402_1005Metric,C25905
100k,"R8,R9,R10",R_0402_1005Metric,C25741
100R,R11,R_0402_1005Metric,C25076
BOOT,SW1,SW_SPST_EVQP7C,C49234124
ESP32-C3-MINI-1-N4,U1,ESP32-C3-MINI-1,C2838502
SN74AHCT1G125,U2,SOT-23-5,C7484
AP2112K-3.3,U3,SOT-23-5,C23380830
USBLC6-2SC6,U4,SOT-23-6,C2687116
