Designator,Mid X,Mid Y,Layer,Rotation
C1,73.0000,-24.5000,Top,0.0
C2,115.0000,-23.0000,Top,0.0
C3,119.5000,-23.0000,Top,0.0
C4,84.0000,-31.0000,Top,0.0
C5,70.5000,-34.5000,Top,0.0
C6,71.0000,-31.0000,Top,0.0
C7,106.0000,-22.4000,Top,0.0
C8,91.5000,-26.5000,Top,0.0
C9,87.5000,-31.0000,Top,0.0
C10,18.9667,-15.1000,Top,0.0
C11,30.1000,-15.1000,Top,0.0
C12,41.2333,-15.1000,Top,0.0
C13,52.3667,-15.1000,Top,0.0
C14,63.5000,-15.1000,Top,0.0
C15,74.6333,-15.1000,Top,0.0
C16,85.7667,-15.1000,Top,0.0
C17,96.9000,-15.1000,Top,0.0
C18,108.0333,-15.1000,Top,0.0
C19,119.1667,-15.1000,Top,0.0
C20,130.3000,-15.1000,Top,0.0
C21,141.4333,-15.1000,Top,0.0
C22,152.5667,-15.1000,Top,0.0
C23,163.7000,-15.1000,Top,0.0
C24,174.8333,-15.1000,Top,0.0
F1,92.0000,-23.0000,Top,0.0
J1,98.0000,-49.0000,Top,0.0
J4,78.0000,-46.0000,Top,0.0
LD1,15.5667,-11.0000,Top,90.0
LD2,26.7000,-11.0000,Top,90.0
LD3,37.8333,-11.0000,Top,90.0
LD4,48.9667,-11.0000,Top,90.0
LD5,60.1000,-11.0000,Top,90.0
LD6,71.2333,-11.0000,Top,90.0
LD7,82.3667,-11.0000,Top,90.0
LD8,93.5000,-11.0000,Top,90.0
LD9,104.6333,-11.0000,Top,90.0
LD10,115.7667,-11.0000,Top,90.0
LD11,126.9000,-11.0000,Top,90.0
LD12,138.0333,-11.0000,Top,90.0
LD13,149.1667,-11.0000,Top,90.0
LD14,160.3000,-11.0000,Top,90.0
LD15,171.4333,-11.0000,Top,90.0
Q1,99.0000,-23.0000,Top,0.0
R1,89.0000,-46.5000,Top,0.0
R2,91.0000,-46.5000,Top,0.0
R3,75.0000,-34.5000,Top,0.0
R4,90.0000,-31.0000,Top,0.0
R5,92.5000,-31.0000,Top,0.0
R6,95.0000,-31.0000,Top,0.0
R7,96.5000,-26.5000,Top,0.0
R8,103.5000,-22.4000,Top,0.0
R9,89.0000,-26.5000,Top,0.0
R10,94.0000,-26.5000,Top,0.0
R11,78.5000,-31.0000,Top,0.0
SW1,84.0000,-23.5000,Top,0.0
U1,115.0000,-38.0000,Top,180.0
U2,75.0000,-31.0000,Top,0.0
U3,110.5000,-23.0000,Top,0.0
U4,86.0000,-42.0000,Top,0.0
