Designator,Mid X,Mid Y,Layer,Rotation
C1,80.0000,-25.0000,Top,0.0
C2,110.0000,-30.5000,Top,0.0
C3,110.0000,-25.5000,Top,0.0
C4,114.5000,-30.5000,Top,0.0
C5,84.0000,-34.5000,Top,0.0
C6,84.5000,-31.5000,Top,0.0
C7,112.5000,-22.0000,Top,0.0
C8,97.5000,-27.0000,Top,0.0
C9,110.0000,-33.0000,Top,0.0
C10,13.4000,-15.5000,Top,90.0
C11,30.0667,-15.5000,Top,90.0
C12,46.7333,-15.5000,Top,90.0
C13,63.4000,-15.5000,Top,90.0
C14,80.0667,-15.5000,Top,90.0
C15,96.7334,-15.5000,Top,90.0
C16,113.4000,-15.5000,Top,90.0
C17,130.0667,-15.5000,Top,90.0
C18,146.7334,-15.5000,Top,90.0
C19,163.4000,-15.5000,Top,90.0
C20,180.0667,-15.5000,Top,90.0
F1,98.0000,-23.0000,Top,0.0
J1,80.0000,-43.8000,Top,0.0
LD1,10.0000,-11.0000,Top,90.0
LD2,26.6667,-11.0000,Top,90.0
LD3,43.3333,-11.0000,Top,90.0
LD4,60.0000,-11.0000,Top,90.0
LD5,76.6667,-11.0000,Top,90.0
LD6,93.3333,-11.0000,Top,90.0
LD7,110.0000,-11.0000,Top,90.0
LD8,126.6667,-11.0000,Top,90.0
LD9,143.3334,-11.0000,Top,90.0
LD10,160.0000,-11.0000,Top,90.0
LD11,176.6667,-11.0000,Top,90.0
Q1,105.0000,-23.0000,Top,0.0
R1,87.5000,-45.5000,Top,0.0
R2,90.5000,-45.5000,Top,0.0
R3,91.5000,-31.5000,Top,0.0
R4,114.5000,-33.5000,Top,0.0
R5,110.0000,-36.0000,Top,0.0
R6,114.5000,-36.0000,Top,0.0
R7,104.5000,-27.0000,Top,0.0
R8,110.0000,-22.0000,Top,0.0
R9,95.0000,-27.0000,Top,0.0
R10,102.0000,-27.0000,Top,0.0
R11,88.5000,-35.0000,Top,0.0
SW1,90.0000,-24.0000,Top,0.0
U1,100.0000,-38.0000,Top,180.0
U2,88.5000,-31.5000,Top,0.0
U3,116.0000,-25.0000,Top,0.0
U4,89.2000,-41.5000,Top,0.0
